,Stimulus,Max_response,Min_response,Peak_to_peak
0,3.797,1.42,-1.25,2.67
1,3.501,2.0,-0.8,2.8
2,3.058,1.56,-0.57,2.13
3,3.603,1.49,-0.56,2.05
4,3.536,1.07,-0.54,1.61
5,2.985,1.07,-0.8,1.87
6,3.125,1.07,-0.64,1.71
7,2.96,0.79,-0.33,1.12
8,3.005,4.27,-2.39,6.66
9,3.868,1.11,-0.86,1.9700000000000002
10,3.422,1.11,-0.9,2.0100000000000002
11,3.377,1.93,-1.31,3.24
12,3.197,0.72,-0.29,1.01
13,3.864,1.15,-0.65,1.7999999999999998
