Interval=	0.0001 s
ExcelDateTime=	3.9815061567394674e+004	2009/1/2 1:28:39.4229
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2
Range=	10.000 V	10.000 V
0.0193	-0.232	-0.001
0.0194	-0.230	-0.000
0.0195	-0.228	0.001
0.0196	-0.225	0.000
0.0197	-0.220	-0.000
0.0198	-0.217	-0.001
0.0199	-0.216	-0.001
0.02	-0.214	-0.001
0.0201	-0.209	-0.000
0.0202	-0.204	-0.000
0.0203	-0.202	-0.000
0.0204	-0.201	-0.001
0.0205	-0.202	-0.000
0.0206	-0.198	-0.000
0.0207	-0.199	-0.000
0.0208	-0.198	-0.000
0.0209	-0.200	-0.001
0.021	-0.203	-0.000
0.0211	-0.203	-0.000
0.0212	-0.203	0.000
0.0213	-0.204	-0.000
0.0214	-0.203	0.000
0.0215	-0.206	-0.000
0.0216	-0.203	-0.000
0.0217	-0.201	-0.000
0.0218	-0.201	-0.001
0.0219	-0.198	-0.001
0.022	-0.201	-0.000
0.0221	-0.197	0.000
0.0222	-0.195	-0.001
0.0223	-0.199	-0.000
0.0224	-0.206	-0.001
0.0225	-0.206	-0.000
0.0226	-0.210	-0.001
0.0227	-0.210	-0.000
0.0228	-0.214	-0.000
0.0229	-0.217	-0.000
0.023	-0.216	-0.001
0.0231	-0.215	-0.000
0.0232	-0.213	-0.001
0.0233	-0.214	-0.000
0.0234	-0.215	-0.000
0.0235	-0.214	-0.000
0.0236	-0.212	-0.001
0.0237	-0.210	0.000
0.0238	-0.213	-0.001
0.0239	-0.215	-0.001
0.024	-0.218	-0.001
0.0241	-0.221	-0.000
0.0242	-0.223	0.000
0.0243	-0.224	-0.001
0.0244	-0.223	-0.000
0.0245	-0.224	-0.000
0.0246	-0.219	-0.001
0.0247	-0.219	-0.000
0.0248	-0.220	0.000
0.0249	-0.223	-0.001
0.025	-0.223	-0.000
0.0251	-0.222	-0.001
0.0252	-0.223	-0.000
0.0253	-0.224	-0.001
0.0254	-0.226	-0.001
0.0255	-0.225	-0.001
0.0256	-0.227	-0.000
0.0257	-0.233	-0.000
0.0258	-0.229	-0.001
0.0259	-0.233	-0.001
0.026	-0.237	-0.000
0.0261	-0.232	-0.001
0.0262	-0.234	-0.001
0.0263	-0.234	0.000
0.0264	-0.233	-0.000
0.0265	-0.233	0.000
0.0266	-0.232	-0.000
0.0267	-0.233	0.000
0.0268	-0.234	-0.000
0.0269	-0.231	-0.001
0.027	-0.225	-0.001
0.0271	-0.218	0.000
0.0272	-0.213	0.000
0.0273	-0.215	-0.000
0.0274	-0.216	-0.000
0.0275	-0.212	-0.001
0.0276	-0.212	0.000
0.0277	-0.212	0.000
0.0278	-0.217	0.000
0.0279	-0.215	-0.000
0.028	-0.217	-0.000
Interval=	0.000100 s
ExcelDateTime=	3.9815061606115742e+004	2009/1/2 1:28:42.7684
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2
Range=	10.000 V	10.000 V
-0.0019	-0.228	0.000
-0.0018	-0.226	-0.000
-0.0017	-0.230	-0.001
-0.0016	-0.232	0.000
-0.0015	-0.234	-0.001
-0.0014	-0.236	0.000
-0.0013	-0.234	-0.000
-0.0012	-0.233	0.000
-0.0011	-0.230	-0.000
-0.001	-0.238	0.000
-0.0009	-0.237	-0.001
-0.0008	-0.233	-0.001
-0.0007	-0.234	-0.000
-0.0006	-0.237	-0.001
-0.0005	-0.241	0.000
-0.0004	-0.237	0.000
-0.0003	-0.234	0.000
-0.0002	-0.236	-0.000
-0.0001	-0.233	-0.000
0.0	-0.228	-0.001
0.0001	-0.224	-0.000
0.0002	1.682	1.036
0.0003	4.438	1.039
0.0004	2.966	0.003
0.0005	-2.826	0.001
0.0006	-4.758	0.000
0.0007	-5.401	0.000
0.0008	-4.905	-0.000
0.0009	-3.717	0.000
0.001	-2.704	0.001
0.0011	-1.982	0.000
0.0012	-1.536	-0.000
0.0013	-1.354	-0.001
0.0014	-1.287	-0.001
0.0015	-1.174	-0.001
0.0016	-0.984	-0.000
0.0017	-0.764	0.000
0.0018	-0.560	-0.000
0.0019	-0.383	-0.000
0.002	-0.239	0.000
0.0021	-0.134	0.000
0.0022	-0.066	-0.001
0.0023	-0.030	0.000
0.0024	-0.008	-0.001
0.0025	-0.003	-0.000
0.0026	-0.002	0.000
0.0027	-0.006	-0.000
0.0028	-0.011	-0.001
0.0029	-0.016	0.000
0.003	-0.021	0.000
0.0031	-0.026	0.000
0.0032	-0.031	-0.000
0.0033	-0.037	0.000
0.0034	-0.043	0.000
0.0035	-0.047	-0.001
0.0036	-0.048	-0.001
0.0037	-0.048	-0.000
0.0038	-0.048	-0.000
0.0039	-0.049	-0.001
0.004	-0.054	-0.001
0.0041	-0.061	-0.000
0.0042	-0.065	-0.000
0.0043	-0.071	-0.000
0.0044	-0.077	-0.001
0.0045	-0.081	-0.001
0.0046	-0.086	0.000
0.0047	-0.093	-0.000
0.0048	-0.105	0.000
0.0049	-0.114	-0.001
0.005	-0.122	-0.001
0.0051	-0.128	-0.000
0.0052	-0.132	-0.001
0.0053	-0.138	0.000
0.0054	-0.142	-0.001
0.0055	-0.144	-0.001
0.0056	-0.151	-0.001
0.0057	-0.158	-0.000
0.0058	-0.163	-0.000
0.0059	-0.168	-0.000
0.006	-0.175	-0.000
0.0061	-0.181	-0.000
0.0062	-0.188	-0.000
0.0063	-0.193	0.000
0.0064	-0.199	0.000
0.0065	-0.205	-0.001
0.0066	-0.204	-0.001
0.0067	-0.207	-0.001
0.0068	-0.208	0.000
0.0069	-0.217	-0.001
0.007	-0.218	0.000
0.0071	-0.220	0.001
0.0072	-0.227	-0.001
0.0073	-0.228	-0.000
0.0074	-0.231	-0.000
0.0075	-0.243	0.000
0.0076	-0.246	-0.000
0.0077	-0.245	0.000
0.0078	-0.251	-0.000
0.0079	-0.249	-0.000
0.008	-0.253	-0.000
0.0081	-0.259	-0.001
0.0082	-0.270	0.000
0.0083	-0.280	-0.000
0.0084	-0.285	-0.000
0.0085	-0.288	-0.000
0.0086	-0.290	-0.000
0.0087	-0.290	-0.001
0.0088	-0.293	-0.000
0.0089	-0.299	-0.000
0.009	-0.302	0.000
0.0091	-0.299	-0.001
0.0092	-0.299	0.000
0.0093	-0.298	0.000
0.0094	-0.293	-0.001
0.0095	-0.293	0.000
0.0096	-0.292	-0.000
0.0097	-0.291	-0.000
0.0098	-0.285	0.000
0.0099	-0.283	-0.000
0.01	-0.282	-0.000
0.0101	-0.279	-0.000
0.0102	-0.279	0.000
0.0103	-0.278	-0.000
0.0104	-0.275	-0.001
0.0105	-0.275	-0.001
0.0106	-0.276	-0.000
0.0107	-0.275	-0.000
0.0108	-0.278	0.000
0.0109	-0.278	-0.000
0.011	-0.277	-0.000
0.0111	-0.278	0.000
0.0112	-0.275	0.000
0.0113	-0.274	-0.001
0.0114	-0.269	-0.000
0.0115	-0.267	0.000
0.0116	-0.267	-0.000
0.0117	-0.265	0.000
0.0118	-0.263	-0.000
0.0119	-0.261	-0.001
0.012	-0.264	-0.000
0.0121	-0.264	-0.000
0.0122	-0.268	-0.000
0.0123	-0.268	-0.000
0.0124	-0.267	0.000
0.0125	-0.272	0.000
0.0126	-0.271	-0.000
0.0127	-0.270	-0.000
0.0128	-0.266	0.000
0.0129	-0.266	0.000
0.013	-0.265	-0.001
0.0131	-0.262	-0.000
0.0132	-0.259	0.000
0.0133	-0.254	-0.000
0.0134	-0.253	-0.000
0.0135	-0.251	-0.001
0.0136	-0.250	0.000
0.0137	-0.250	-0.000
0.0138	-0.249	-0.001
0.0139	-0.251	-0.000
0.014	-0.250	-0.000
0.0141	-0.249	-0.000
0.0142	-0.248	0.000
0.0143	-0.246	-0.000
0.0144	-0.244	-0.000
0.0145	-0.243	-0.000
0.0146	-0.242	-0.000
0.0147	-0.241	-0.000
0.0148	-0.239	0.000
0.0149	-0.236	-0.000
0.015	-0.236	-0.000
0.0151	-0.239	-0.000
0.0152	-0.235	-0.000
0.0153	-0.236	0.000
0.0154	-0.239	-0.000
0.0155	-0.236	0.000
0.0156	-0.237	0.000
