time,v,stimulus
-0.0019,-0.215,0.000
-0.0018,-0.209,-0.001
-0.0017,-0.201,0.000
-0.0016,-0.195,0.000
-0.0015,-0.196,-0.001
-0.0014,-0.197,-0.001
-0.0013,-0.203,-0.000
-0.0012,-0.203,-0.001
-0.0011,-0.208,-0.001
-0.001,-0.207,0.000
-0.0009,-0.198,-0.001
-0.0008,-0.197,-0.001
-0.0007,-0.186,0.000
-0.0006,-0.181,-0.000
-0.0005,-0.175,-0.000
-0.0004,-0.170,0.000
-0.0003,-0.171,-0.000
-0.0002,-0.175,-0.001
-0.0001,-0.176,0.000
0.0,-0.169,-0.000
0.0001,-0.174,-0.001
0.0002,-0.114,1.030
0.0003,-3.677,1.036
0.0004,-5.003,0.007
0.0005,-5.437,0.002
0.0006,-3.924,0.001
0.0007,-1.208,0.001
0.0008,0.745,0.000
0.0009,2.023,0.000
0.001,2.899,0.000
0.0011,3.469,0.000
0.0012,3.694,0.000
0.0013,3.632,0.000
0.0014,3.434,0.000
0.0015,3.162,-0.000
0.0016,2.778,0.000
0.0017,2.125,0.000
0.0018,1.196,-0.001
0.0019,0.297,0.000
0.002,-0.328,0.000
0.0021,-0.586,-0.000
0.0022,-0.418,-0.001
0.0023,0.048,0.000
0.0024,0.557,-0.001
0.0025,0.937,0.000
0.0026,1.172,-0.000
0.0027,1.271,0.000
0.0028,1.262,-0.001
0.0029,1.166,0.000
0.003,1.028,-0.000
0.0031,0.867,-0.001
0.0032,0.710,-0.000
0.0033,0.564,0.000
0.0034,0.427,-0.001
0.0035,0.308,-0.001
0.0036,0.210,-0.000
0.0037,0.120,0.000
0.0038,0.041,-0.000
0.0039,-0.028,0.000
0.004,-0.086,-0.001
0.0041,-0.137,-0.000
0.0042,-0.185,-0.001
0.0043,-0.228,-0.000
0.0044,-0.266,-0.000
0.0045,-0.298,-0.000
0.0046,-0.330,0.000
0.0047,-0.356,0.000
0.0048,-0.380,0.000
0.0049,-0.397,-0.000
0.005,-0.400,-0.000
0.0051,-0.408,-0.000
0.0052,-0.413,-0.000
0.0053,-0.416,-0.001
0.0054,-0.413,-0.001
0.0055,-0.402,-0.001
0.0056,-0.393,0.000
0.0057,-0.390,-0.000
0.0058,-0.393,-0.001
0.0059,-0.397,-0.000
0.006,-0.402,-0.000
0.0061,-0.409,-0.000
0.0062,-0.408,-0.000
0.0063,-0.408,-0.001
0.0064,-0.411,-0.000
0.0065,-0.414,-0.000
0.0066,-0.414,0.000
0.0067,-0.413,-0.001
0.0068,-0.406,-0.001
0.0069,-0.390,-0.001
0.007,-0.370,-0.001
0.0071,-0.351,-0.000
0.0072,-0.339,-0.001
0.0073,-0.325,0.000
0.0074,-0.314,-0.000
0.0075,-0.307,-0.001
0.0076,-0.299,-0.001
0.0077,-0.292,0.000
0.0078,-0.286,-0.001
0.0079,-0.274,-0.000
0.008,-0.261,0.000
0.0081,-0.247,-0.001
0.0082,-0.233,-0.001
0.0083,-0.222,0.000
0.0084,-0.206,-0.000
0.0085,-0.184,-0.000
0.0086,-0.172,0.000
0.0087,-0.177,-0.001
0.0088,-0.163,-0.000
0.0089,-0.153,-0.001
0.009,-0.163,0.000
0.0091,-0.150,-0.001
0.0092,-0.126,0.000
0.0093,-0.137,0.000
0.0094,-0.136,-0.001
0.0095,-0.126,-0.000
0.0096,-0.111,-0.000
0.0097,-0.102,-0.000
0.0098,-0.097,-0.001
0.0099,-0.092,-0.001
0.01,-0.088,-0.000
0.0101,-0.075,-0.000
0.0102,-0.052,-0.000
0.0103,-0.041,-0.001
0.0104,-0.018,-0.000
0.0105,0.018,-0.001
0.0106,0.053,-0.001
0.0107,0.076,-0.001
0.0108,0.112,0.000
0.0109,0.146,0.000
0.011,0.162,-0.000
0.0111,0.157,-0.001
0.0112,0.158,0.000
0.0113,0.152,-0.000
0.0114,0.149,0.000
0.0115,0.157,-0.001
0.0116,0.163,0.000
0.0117,0.168,-0.001
0.0118,0.162,0.000
0.0119,0.148,-0.000
0.012,0.131,-0.001
0.0121,0.113,-0.000
0.0122,0.092,-0.000
0.0123,0.077,-0.000
0.0124,0.061,0.000
0.0125,0.049,-0.000
0.0126,0.039,-0.001
0.0127,0.028,-0.000
0.0128,0.022,0.000
0.0129,0.019,-0.001
0.013,0.017,-0.000
0.0131,0.021,-0.001
0.0132,0.024,-0.001
0.0133,0.013,-0.001
0.0134,0.003,-0.001
0.0135,0.002,-0.000
0.0136,-0.002,0.000
0.0137,-0.015,-0.001
0.0138,-0.031,-0.001
0.0139,-0.044,-0.001
0.014,-0.052,-0.000
0.0141,-0.050,-0.000
0.0142,-0.050,-0.001
0.0143,-0.044,-0.000
0.0144,-0.037,-0.001
0.0145,-0.035,-0.000
0.0146,-0.030,-0.000
0.0147,-0.029,-0.001
0.0148,-0.024,-0.000
0.0149,-0.023,-0.001
0.015,-0.022,-0.000
0.0151,-0.023,-0.000
0.0152,-0.029,0.000
0.0153,-0.039,0.000
0.0154,-0.053,-0.000
0.0155,-0.061,-0.001
0.0156,-0.068,-0.000
0.0157,-0.073,-0.001
0.0158,-0.072,0.000
0.0159,-0.070,-0.000
0.016,-0.070,-0.000
0.0161,-0.071,0.000
0.0162,-0.069,-0.001
0.0163,-0.075,-0.001
0.0164,-0.082,-0.000
0.0165,-0.092,0.000
0.0166,-0.099,-0.000
0.0167,-0.099,0.000
0.0168,-0.108,0.000
0.0169,-0.117,-0.001
0.017,-0.113,-0.000
0.0171,-0.116,-0.001
0.0172,-0.123,0.000
0.0173,-0.111,-0.000
0.0174,-0.116,-0.001
0.0175,-0.131,-0.000
0.0176,-0.120,-0.001
0.0177,-0.117,-0.001
0.0178,-0.116,-0.000
0.0179,-0.122,0.000
0.018,-0.137,-0.000
0.0181,-0.126,-0.001
0.0182,-0.132,-0.000
0.0183,-0.139,-0.000
0.0184,-0.128,-0.000
0.0185,-0.132,0.000
0.0186,-0.129,-0.001
0.0187,-0.137,-0.000
0.0188,-0.159,-0.000
0.0189,-0.193,-0.001
0.019,-0.218,-0.001
0.0191,-0.248,-0.001
0.0192,-0.274,-0.001
0.0193,-0.292,-0.000
0.0194,-0.293,-0.000
0.0195,-0.294,-0.001
0.0196,-0.303,0.000
0.0197,-0.308,-0.000
0.0198,-0.324,-0.000
0.0199,-0.347,-0.000
0.02,-0.366,-0.001
0.0201,-0.374,-0.001
0.0202,-0.378,-0.001
0.0203,-0.373,-0.001
0.0204,-0.363,0.000
0.0205,-0.354,0.000
0.0206,-0.343,0.000
0.0207,-0.325,0.000
0.0208,-0.313,0.000
0.0209,-0.300,-0.000
0.021,-0.291,-0.001
0.0211,-0.283,-0.000
0.0212,-0.276,-0.000
0.0213,-0.275,-0.001
0.0214,-0.273,0.000
0.0215,-0.271,-0.001
0.0216,-0.258,-0.001
0.0217,-0.240,-0.000
0.0218,-0.227,-0.000
0.0219,-0.223,-0.001
0.022,-0.213,-0.001
0.0221,-0.197,0.000
0.0222,-0.177,-0.001
0.0223,-0.161,-0.001
0.0224,-0.158,-0.000
0.0225,-0.155,-0.001
0.0226,-0.161,-0.000
0.0227,-0.166,-0.001
0.0228,-0.168,0.000
0.0229,-0.172,0.000
0.023,-0.177,0.000
0.0231,-0.183,-0.000
0.0232,-0.185,-0.000
0.0233,-0.190,-0.001
0.0234,-0.193,-0.001
0.0235,-0.192,-0.000
0.0236,-0.185,-0.000
0.0237,-0.177,-0.001
0.0238,-0.174,-0.001
0.0239,-0.170,-0.000
0.024,-0.173,-0.001
0.0241,-0.176,0.000
0.0242,-0.181,-0.000
0.0243,-0.189,-0.000
0.0244,-0.193,0.000
0.0245,-0.197,-0.001
0.0246,-0.199,-0.001
0.0247,-0.196,-0.001
0.0248,-0.192,-0.000
0.0249,-0.192,0.000
0.025,-0.194,0.000
0.0251,-0.189,-0.001
0.0252,-0.187,-0.001
0.0253,-0.189,-0.000
0.0254,-0.203,-0.000
0.0255,-0.202,-0.000
0.0256,-0.208,-0.001
0.0257,-0.229,0.000
0.0258,-0.224,-0.001
0.0259,-0.225,0.000
0.026,-0.244,-0.000
0.0261,-0.248,-0.001
0.0262,-0.255,-0.001
0.0263,-0.243,-0.001
0.0264,-0.245,-0.000
0.0265,-0.258,0.000
0.0266,-0.260,0.000
0.0267,-0.265,0.000
0.0268,-0.257,-0.000
0.0269,-0.243,-0.000
0.027,-0.238,-0.001
0.0271,-0.217,0.000
0.0272,-0.189,-0.001
0.0273,-0.170,-0.001
0.0274,-0.142,-0.000
0.0275,-0.108,-0.000
0.0276,-0.080,-0.000
0.0277,-0.081,-0.001
0.0278,-0.092,0.000
0.0279,-0.094,-0.001
0.028,-0.105,-0.000
