time,v,stimulus
0.0206,-0.213,0.000
0.0207,-0.223,-0.001
0.0208,-0.236,-0.001
0.0209,-0.236,-0.001
0.021,-0.249,-0.001
0.0211,-0.273,-0.001
0.0212,-0.271,-0.001
0.0213,-0.278,-0.000
0.0214,-0.300,-0.000
0.0215,-0.308,-0.001
0.0216,-0.305,-0.001
0.0217,-0.307,-0.000
0.0218,-0.311,-0.001
0.0219,-0.333,-0.001
0.022,-0.294,-0.001
0.0221,-0.305,-0.000
0.0222,-0.310,-0.000
0.0223,-0.305,-0.001
0.0224,-0.305,-0.000
0.0225,-0.287,0.000
0.0226,-0.261,0.000
0.0227,-0.239,0.000
0.0228,-0.216,-0.001
0.0229,-0.182,-0.001
0.023,-0.156,-0.001
0.0231,-0.161,-0.000
0.0232,-0.170,-0.000
0.0233,-0.175,-0.000
0.0234,-0.189,-0.000
0.0235,-0.197,-0.001
0.0236,-0.194,0.000
0.0237,-0.193,0.000
0.0238,-0.191,-0.000
0.0239,-0.201,-0.000
0.024,-0.217,-0.001
0.0241,-0.236,-0.001
0.0242,-0.256,0.000
0.0243,-0.275,0.000
0.0244,-0.292,-0.000
0.0245,-0.308,-0.000
0.0246,-0.316,-0.001
0.0247,-0.326,-0.000
0.0248,-0.332,-0.001
0.0249,-0.331,-0.000
0.025,-0.329,-0.000
0.0251,-0.324,-0.001
0.0252,-0.318,-0.000
0.0253,-0.312,-0.001
0.0254,-0.315,-0.001
0.0255,-0.320,-0.000
0.0256,-0.319,0.000
0.0257,-0.320,-0.000
0.0258,-0.325,-0.000
0.0259,-0.328,-0.000
0.026,-0.329,-0.001
0.0261,-0.332,-0.001
0.0262,-0.324,-0.000
0.0263,-0.317,-0.001
0.0264,-0.305,-0.001
0.0265,-0.290,-0.001
0.0266,-0.276,0.000
0.0267,-0.264,-0.001
0.0268,-0.253,0.000
0.0269,-0.242,-0.001
0.027,-0.237,0.000
0.0271,-0.224,0.000
0.0272,-0.215,-0.000
0.0273,-0.219,-0.000
0.0274,-0.220,-0.000
0.0275,-0.224,-0.001
0.0276,-0.223,-0.000
0.0277,-0.219,-0.000
0.0278,-0.214,-0.000
0.0279,-0.205,-0.000
0.028,-0.197,-0.001
