time,v,stimulus
-0.0019,-0.241,0.000
-0.0018,-0.246,-0.000
-0.0017,-0.248,-0.000
-0.0016,-0.252,-0.000
-0.0015,-0.264,-0.000
-0.0014,-0.278,-0.000
-0.0013,-0.294,0.000
-0.0012,-0.309,0.000
-0.0011,-0.308,-0.001
-0.001,-0.301,-0.000
-0.0009,-0.285,0.000
-0.0008,-0.271,0.000
-0.0007,-0.254,-0.001
-0.0006,-0.238,-0.000
-0.0005,-0.225,-0.001
-0.0004,-0.212,-0.001
-0.0003,-0.202,-0.001
-0.0002,-0.192,-0.001
-0.0001,-0.185,-0.000
0.0,-0.183,0.000
0.0001,-0.180,-0.000
0.0002,-0.054,0.924
0.0003,-3.403,0.928
0.0004,-4.913,0.006
0.0005,-5.408,0.002
0.0006,-4.025,0.001
0.0007,-1.316,0.001
0.0008,0.611,0.001
0.0009,1.842,0.000
0.001,2.658,0.001
0.0011,3.225,0.000
0.0012,3.505,-0.000
0.0013,3.489,0.000
0.0014,3.301,0.000
0.0015,3.043,0.000
0.0016,2.718,-0.000
0.0017,2.190,-0.001
0.0018,1.346,-0.000
0.0019,0.422,-0.000
0.002,-0.284,0.000
0.0021,-0.653,-0.001
0.0022,-0.606,-0.001
0.0023,-0.197,0.000
0.0024,0.362,0.000
0.0025,0.861,-0.001
0.0026,1.207,0.000
0.0027,1.388,-0.000
0.0028,1.418,-0.000
0.0029,1.339,0.000
0.003,1.189,-0.001
0.0031,1.014,-0.000
0.0032,0.843,-0.001
0.0033,0.685,-0.001
0.0034,0.553,-0.001
0.0035,0.440,-0.000
0.0036,0.338,-0.001
0.0037,0.241,-0.000
0.0038,0.156,-0.000
0.0039,0.078,0.000
0.004,0.007,-0.000
0.0041,-0.065,-0.001
0.0042,-0.119,-0.001
0.0043,-0.174,-0.001
0.0044,-0.236,-0.001
0.0045,-0.271,0.000
0.0046,-0.303,-0.000
0.0047,-0.352,-0.000
0.0048,-0.388,0.000
0.0049,-0.412,-0.000
0.005,-0.431,-0.000
0.0051,-0.454,-0.000
0.0052,-0.479,-0.000
0.0053,-0.498,-0.000
0.0054,-0.511,-0.000
0.0055,-0.513,0.000
0.0056,-0.504,-0.001
0.0057,-0.505,-0.000
0.0058,-0.491,-0.001
0.0059,-0.468,-0.000
0.006,-0.444,-0.000
0.0061,-0.427,-0.001
0.0062,-0.392,-0.001
0.0063,-0.359,-0.000
0.0064,-0.348,-0.000
0.0065,-0.354,0.000
0.0066,-0.353,-0.001
0.0067,-0.360,-0.001
0.0068,-0.360,-0.001
0.0069,-0.350,0.000
0.007,-0.340,0.000
0.0071,-0.328,-0.001
0.0072,-0.322,-0.000
0.0073,-0.329,-0.001
0.0074,-0.338,0.000
0.0075,-0.345,0.000
0.0076,-0.352,-0.000
0.0077,-0.362,-0.001
0.0078,-0.369,-0.001
0.0079,-0.371,-0.000
0.008,-0.367,-0.000
0.0081,-0.362,-0.001
0.0082,-0.351,-0.000
0.0083,-0.339,-0.000
0.0084,-0.321,-0.000
0.0085,-0.306,0.000
0.0086,-0.291,-0.000
0.0087,-0.287,-0.000
0.0088,-0.273,-0.001
0.0089,-0.257,-0.001
0.009,-0.247,-0.000
0.0091,-0.244,-0.001
0.0092,-0.240,-0.000
0.0093,-0.237,0.000
0.0094,-0.223,-0.000
0.0095,-0.210,0.000
0.0096,-0.195,-0.001
0.0097,-0.175,-0.001
0.0098,-0.150,-0.000
0.0099,-0.133,0.000
0.01,-0.116,0.000
0.0101,-0.100,-0.000
0.0102,-0.079,-0.001
0.0103,-0.059,-0.001
0.0104,-0.042,-0.000
0.0105,-0.031,-0.001
0.0106,-0.023,-0.000
0.0107,-0.023,-0.001
0.0108,-0.017,0.000
0.0109,-0.008,-0.001
0.011,-0.002,-0.000
0.0111,0.006,-0.000
0.0112,0.022,0.000
0.0113,0.038,-0.000
0.0114,0.050,-0.000
0.0115,0.054,-0.001
0.0116,0.059,-0.001
0.0117,0.065,-0.001
0.0118,0.066,-0.001
0.0119,0.065,0.000
0.012,0.073,0.000
0.0121,0.077,-0.000
0.0122,0.070,-0.000
0.0123,0.072,0.000
0.0124,0.086,0.000
0.0125,0.091,-0.000
0.0126,0.090,-0.001
0.0127,0.109,-0.001
0.0128,0.110,0.000
0.0129,0.102,0.000
0.013,0.118,-0.001
0.0131,0.126,-0.001
0.0132,0.125,-0.001
0.0133,0.118,-0.001
0.0134,0.116,-0.001
0.0135,0.123,-0.001
0.0136,0.120,0.000
0.0137,0.114,-0.001
0.0138,0.125,-0.000
0.0139,0.123,0.000
0.014,0.122,0.000
0.0141,0.104,-0.000
0.0142,0.083,0.000
0.0143,0.052,-0.001
0.0144,0.025,-0.000
0.0145,-0.007,0.000
0.0146,-0.031,-0.000
0.0147,-0.051,0.000
0.0148,-0.055,-0.000
0.0149,-0.063,-0.000
0.015,-0.067,-0.000
0.0151,-0.075,-0.001
0.0152,-0.093,-0.000
0.0153,-0.122,-0.000
0.0154,-0.145,-0.000
0.0155,-0.157,0.000
0.0156,-0.162,-0.000
0.0157,-0.158,-0.000
0.0158,-0.152,0.000
0.0159,-0.143,-0.001
0.016,-0.128,0.000
0.0161,-0.121,-0.000
0.0162,-0.109,-0.001
0.0163,-0.102,-0.000
0.0164,-0.098,-0.000
0.0165,-0.095,0.000
0.0166,-0.093,-0.001
0.0167,-0.092,-0.001
0.0168,-0.092,-0.000
0.0169,-0.098,-0.000
0.017,-0.089,-0.001
0.0171,-0.075,-0.001
0.0172,-0.067,-0.001
0.0173,-0.068,-0.001
0.0174,-0.068,0.000
0.0175,-0.058,0.000
0.0176,-0.042,-0.001
0.0177,-0.035,-0.001
0.0178,-0.037,-0.001
0.0179,-0.039,-0.001
0.018,-0.052,-0.001
0.0181,-0.066,-0.001
0.0182,-0.077,-0.001
0.0183,-0.089,0.000
0.0184,-0.101,-0.001
0.0185,-0.113,-0.000
0.0186,-0.122,-0.001
0.0187,-0.133,-0.000
0.0188,-0.141,0.000
0.0189,-0.148,-0.001
0.019,-0.146,0.000
0.0191,-0.141,-0.000
0.0192,-0.144,0.000
0.0193,-0.148,0.000
0.0194,-0.156,-0.001
0.0195,-0.160,-0.001
0.0196,-0.171,-0.001
0.0197,-0.181,-0.001
0.0198,-0.189,-0.000
0.0199,-0.198,0.000
0.02,-0.198,-0.000
0.0201,-0.204,-0.000
0.0202,-0.204,-0.000
0.0203,-0.204,-0.000
0.0204,-0.211,0.000
0.0205,-0.210,-0.000
