time,v,stimulus
0.0203,-0.174,-0.000
0.0204,-0.192,-0.000
0.0205,-0.215,0.000
0.0206,-0.238,-0.000
0.0207,-0.260,0.000
0.0208,-0.277,0.000
0.0209,-0.289,-0.001
0.021,-0.302,0.000
0.0211,-0.312,0.000
0.0212,-0.316,-0.001
0.0213,-0.319,-0.001
0.0214,-0.319,-0.001
0.0215,-0.316,0.000
0.0216,-0.309,-0.000
0.0217,-0.312,-0.001
0.0218,-0.320,-0.000
0.0219,-0.323,-0.000
0.022,-0.322,-0.000
0.0221,-0.328,0.000
0.0222,-0.333,-0.000
0.0223,-0.348,-0.000
0.0224,-0.359,-0.001
0.0225,-0.357,-0.000
0.0226,-0.352,-0.000
0.0227,-0.341,-0.000
0.0228,-0.336,-0.000
0.0229,-0.325,-0.000
0.023,-0.318,-0.000
0.0231,-0.308,0.000
0.0232,-0.298,0.000
0.0233,-0.286,-0.001
0.0234,-0.280,-0.000
0.0235,-0.274,-0.001
0.0236,-0.269,0.000
0.0237,-0.276,-0.001
0.0238,-0.278,-0.000
0.0239,-0.279,0.000
0.024,-0.277,-0.000
0.0241,-0.278,-0.001
0.0242,-0.274,0.000
0.0243,-0.263,-0.000
0.0244,-0.253,-0.001
0.0245,-0.247,-0.000
0.0246,-0.235,0.000
0.0247,-0.233,-0.000
0.0248,-0.228,-0.001
0.0249,-0.233,0.000
0.025,-0.233,0.000
0.0251,-0.225,0.000
0.0252,-0.230,-0.000
0.0253,-0.234,-0.000
0.0254,-0.225,-0.001
0.0255,-0.212,-0.000
0.0256,-0.219,-0.000
0.0257,-0.204,-0.001
0.0258,-0.190,-0.000
0.0259,-0.204,-0.001
0.026,-0.190,-0.001
0.0261,-0.176,-0.001
0.0262,-0.170,-0.001
0.0263,-0.166,-0.000
0.0264,-0.173,-0.001
0.0265,-0.158,-0.000
0.0266,-0.155,0.000
0.0267,-0.160,-0.000
0.0268,-0.149,-0.000
0.0269,-0.109,-0.001
0.027,-0.083,-0.001
0.0271,-0.073,0.000
0.0272,-0.085,-0.000
0.0273,-0.120,-0.001
0.0274,-0.145,0.000
0.0275,-0.180,-0.000
0.0276,-0.207,-0.001
0.0277,-0.232,-0.001
0.0278,-0.230,-0.001
0.0279,-0.264,-0.000
0.028,-0.279,0.000
