time,v,stimulation
-0.0019,-0.2184375,-0.0003125
-0.0018,-0.219375,-0.000625
-0.0017,-0.215,-0.0003125
-0.0016,-0.2146875,-0.000625
-0.0015,-0.2128125,-0.000625
-0.0014,-0.211875,-0.000625
-0.0013,-0.2128125,-0.000625
-0.0012,-0.213125,-0.000625
-0.0011,-0.2125,-0.000625
-0.001,-0.21375,-0.000625
-0.0009,-0.2153125,-0.0009375
-0.0008,-0.2146875,-0.000625
-0.0007,-0.2178125,-0.000625
-0.0006,-0.2203125,-0.000625
-0.0005,-0.218125,-0.0009375
-0.0004,-0.2171875,-0.000625
-0.0003,-0.2203125,-0.0003125
-0.0002,-0.2209375,-0.0009375
-0.0001,-0.220625,-0.000625
0,-0.2228125,-0.0003125
0.0001,-0.2209375,-0.0009375
0.0002,1.098438,1.335938
0.0003,4.243125,1.33875
0.0004,3.835938,0.00375
0.0005,-2.536875,0.0021875
0.0006,-4.661875,0.0003125
0.0007,-5.369063,0.0003125
0.0008,-5.02375,-0.0003125
0.0009,-3.919688,-0.0003125
0.001,-3.055,-0.000625
0.0011,-3.048125,-0.000625
0.0012,-3.70625,-0.0003125
0.0013,-4.0575,-0.0009375
0.0014,-3.72625,-0.000625
0.0015,-2.842188,-0.0003125
0.0016,-1.807813,-0.0003125
0.0017,-0.9184375,-0.0003125
0.0018,-0.2484375,-0.0003125
0.0019,0.2278125,-0.000625
0.002,0.5553125,-0.000625
0.0021,0.751875,-0.000625
0.0022,0.845,-0.000625
0.0023,0.8534375,-0.0003125
0.0024,0.8190625,-0.000625
0.0025,0.7728125,-0.0003125
0.0026,0.7165625,-0.0003125
0.0027,1.9425,1.335
0.0028,4.525313,1.339687
0.0029,3.624688,0.005
0.003,-2.607813,0.0021875
0.0031,-4.685313,0.000625
0.0032,-5.341875,0
0.0033,-4.458438,0
0.0034,-3.202813,0.0003125
0.0035,-2.20125,0
0.0036,-1.510625,0
0.0037,-1.075,-0.000625
0.0038,-0.785,-0.0003125
0.0039,-0.5765625,-0.0003125
0.004,-0.40125,-0.000625
0.0041,-0.2409375,-0.000625
0.0042,-0.0903125,-0.000625
0.0043,0.0321875,0
0.0044,0.1225,-0.0003125
0.0045,0.184375,-0.0003125
0.0046,0.22,0
0.0047,0.2340625,-0.000625
0.0048,0.2353125,-0.0003125
0.0049,0.2309375,0
0.005,0.2175,-0.000625
0.0051,0.2053125,-0.000625
0.0052,0.185625,-0.000625
0.0053,0.1646875,-0.0003125
0.0054,0.146875,-0.0003125
0.0055,0.125,-0.000625
0.0056,0.1021875,0.0003125
0.0057,0.08625,-0.0003125
0.0058,0.0690625,-0.000625
0.0059,0.04875,-0.0003125
0.006,0.0296875,-0.000625
0.0061,0.010625,-0.0009375
0.0062,-0.0065625,-0.0009375
0.0063,-0.0234375,-0.000625
0.0064,-0.0434375,0.0003125
0.0065,-0.064375,-0.0003125
0.0066,-0.0809375,-0.000625
0.0067,-0.096875,-0.0003125
0.0068,-0.1175,-0.000625
0.0069,-0.1365625,-0.000625
0.007,-0.1515625,-0.0003125
0.0071,-0.165625,-0.000625
0.0072,-0.18125,-0.000625
0.0073,-0.195,-0.0003125
0.0074,-0.205,-0.0003125
0.0075,-0.2146875,-0.000625
0.0076,-0.2228125,-0.0003125
0.0077,-0.23125,-0.0009375
0.0078,-0.24125,-0.000625
0.0079,-0.2475,-0.0009375
0.008,-0.25875,-0.0009375
0.0081,-0.2640625,-0.0009375
0.0082,-0.2721875,-0.0003125
0.0083,-0.276875,-0.000625
0.0084,-0.285625,-0.0003125
0.0085,-0.2915625,-0.000625
0.0086,-0.296875,-0.0009375
0.0087,-0.3028125,-0.0003125
0.0088,-0.305625,-0.0003125
0.0089,-0.3075,0
0.009,-0.3075,-0.0009375
0.0091,-0.3071875,-0.0009375
0.0092,-0.3078125,-0.0003125
0.0093,-0.30875,-0.000625
0.0094,-0.3084375,-0.000625
0.0095,-0.30875,-0.000625
0.0096,-0.3084375,-0.000625
0.0097,-0.30875,-0.000625
0.0098,-0.308125,-0.0003125
0.0099,-0.306875,-0.000625
0.01,-0.3040625,-0.000625
0.0101,-0.3025,-0.000625
0.0102,-0.299375,-0.000625
0.0103,-0.2971875,-0.000625
0.0104,-0.295,-0.0003125
0.0105,-0.28875,-0.000625
0.0106,-0.2875,-0.000625
0.0107,-0.2853125,-0.0009375
0.0108,-0.281875,-0.0009375
0.0109,-0.2784375,-0.000625
0.011,-0.2690625,-0.0009375
0.0111,-0.261875,-0.000625
0.0112,-0.2603125,-0.0003125
0.0113,-0.2525,-0.0003125
0.0114,-0.25,-0.000625
0.0115,-0.2440625,0
0.0116,-0.23875,-0.0009375
0.0117,-0.23375,-0.000625
0.0118,-0.2296875,-0.0009375
0.0119,-0.226875,-0.000625
0.012,-0.2246875,-0.000625
0.0121,-0.22,-0.0003125
0.0122,-0.2175,-0.000625
0.0123,-0.2109375,-0.0003125
0.0124,-0.2071875,-0.000625
0.0125,-0.2046875,-0.000625
0.0126,-0.2034375,-0.0003125
0.0127,-0.2003125,-0.0003125
0.0128,-0.195625,-0.000625
0.0129,-0.1925,0
0.013,-0.1875,-0.0003125
0.0131,-0.1815625,-0.0003125
0.0132,-0.17875,-0.000625
0.0133,-0.175,0
0.0134,-0.1753125,-0.0003125
0.0135,-0.1696875,0
0.0136,-0.165,-0.0009375
0.0137,-0.15875,-0.000625
0.0138,-0.153125,-0.00125
0.0139,-0.151875,-0.0003125
0.014,-0.149375,-0.0003125
0.0141,-0.1453125,-0.000625
0.0142,-0.1428125,-0.0003125
0.0143,-0.136875,-0.000625
0.0144,-0.1375,-0.000625
0.0145,-0.1325,0
0.0146,-0.134375,-0.000625
0.0147,-0.1290625,-0.0009375
0.0148,-0.126875,-0.000625
0.0149,-0.125,-0.000625
0.015,-0.125,-0.0009375
0.0151,-0.1221875,-0.0009375
0.0152,-0.1234375,-0.000625
0.0153,-0.120625,-0.0009375
0.0154,-0.1203125,-0.000625
0.0155,-0.1203125,-0.000625
0.0156,-0.1171875,-0.0009375
0.0157,-0.1178125,-0.0003125
0.0158,-0.1175,-0.000625
0.0159,-0.1175,-0.0009375
0.016,-0.1196875,-0.000625
0.0161,-0.1209375,-0.0009375
0.0162,-0.1225,-0.000625
0.0163,-0.1225,-0.000625
0.0164,-0.126875,-0.000625
0.0165,-0.1284375,-0.0009375
0.0166,-0.1309375,-0.000625
0.0167,-0.1284375,-0.000625
0.0168,-0.128125,-0.000625
0.0169,-0.12875,-0.0003125
0.017,-0.128125,-0.0003125
0.0171,-0.1278125,-0.0009375
0.0172,-0.1290625,-0.0009375
0.0173,-0.129375,-0.000625
0.0174,-0.1303125,-0.0003125
0.0175,-0.1309375,0
0.0176,-0.13125,-0.0009375
0.0177,-0.1334375,0
0.0178,-0.13875,-0.0003125
0.0179,-0.1396875,-0.000625
0.018,-0.146875,-0.000625
0.0181,-0.149375,-0.000625
0.0182,-0.148125,-0.0003125
0.0183,-0.1496875,-0.000625
0.0184,-0.148125,-0.0003125
0.0185,-0.1471875,-0.000625
0.0186,-0.149375,-0.0003125
0.0187,-0.154375,-0.0003125
0.0188,-0.155625,-0.0003125
0.0189,-0.156875,-0.000625
0.019,-0.1621875,-0.000625
0.0191,-0.163125,-0.0009375
0.0192,-0.161875,-0.0009375
0.0193,-0.1659375,-0.000625
0.0194,-0.170625,-0.0009375
0.0195,-0.1721875,-0.000625
0.0196,-0.1721875,0
0.0197,-0.1740625,-0.000625
0.0198,-0.1790625,-0.000625
0.0199,-0.1828125,-0.0009375
0.02,-0.1840625,-0.0003125
0.0201,-0.18625,-0.0009375
0.0202,-0.1915625,-0.000625
0.0203,-0.19375,-0.0009375
0.0204,-0.1925,-0.0009375
0.0205,-0.1953125,-0.000625
0.0206,-0.1978125,-0.0003125
0.0207,-0.19875,-0.0009375
0.0208,-0.2003125,-0.000625
0.0209,-0.198125,-0.0003125
0.021,-0.200625,-0.000625
0.0211,-0.2003125,-0.0003125
0.0212,-0.2003125,-0.0009375
0.0213,-0.203125,-0.000625
0.0214,-0.205,0
0.0215,-0.2028125,-0.0003125
0.0216,-0.200625,-0.000625
0.0217,-0.205,-0.000625
0.0218,-0.2075,-0.0009375
0.0219,-0.211875,-0.000625
0.022,-0.216875,-0.000625
0.0221,-0.2215625,-0.0009375
0.0222,-0.225625,-0.000625
0.0223,-0.225625,-0.000625
0.0224,-0.225625,-0.000625
0.0225,-0.229375,-0.000625
0.0226,-0.2303125,-0.0003125
0.0227,-0.2328125,-0.000625
0.0228,-0.235625,-0.0009375
0.0229,-0.2340625,-0.0003125
0.023,-0.2346875,-0.000625
0.0231,-0.24,-0.000625
0.0232,-0.2403125,-0.000625
0.0233,-0.2453125,-0.0009375
0.0234,-0.2453125,-0.0003125
0.0235,-0.245,-0.000625
0.0236,-0.246875,-0.000625
0.0237,-0.246875,-0.000625
0.0238,-0.249375,-0.0003125
0.0239,-0.2515625,-0.000625
0.024,-0.2525,-0.0003125
0.0241,-0.2553125,-0.000625
0.0242,-0.25125,-0.0009375
0.0243,-0.2496875,-0.000625
0.0244,-0.2471875,-0.0003125
0.0245,-0.25,-0.0009375
0.0246,-0.24875,-0.0009375
0.0247,-0.2484375,-0.000625
0.0248,-0.24875,-0.000625
0.0249,-0.2509375,-0.000625
0.025,-0.2503125,-0.0003125
0.0251,-0.250625,-0.0009375
0.0252,-0.2528125,-0.000625
0.0253,-0.2553125,0
0.0254,-0.2575,-0.000625
0.0255,-0.2609375,-0.0003125
